,Unnamed: 0,age,workclass,fnlgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
24138,24138,35,Private,312232,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K
28787,28787,35,Self-emp-not-inc,335704,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
8767,8767,22,unknown,120572,Some-college,10,Never-married,unknown,Own-child,White,Female,40,United-States,<=50K
2658,2658,49,Private,277434,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
11261,11261,57,Private,191983,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,<=50K
23891,23891,49,Private,48120,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,40,United-States,<=50K
22327,22327,51,Private,100933,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,40,United-States,<=50K
24201,24201,21,State-gov,99199,Masters,14,Never-married,Transport-moving,Own-child,White,Male,15,United-States,<=50K
23364,23364,24,Private,291979,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,40,United-States,<=50K
17460,17460,50,Local-gov,139296,11th,7,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K
16814,16814,27,Private,33429,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
15265,15265,51,Private,90363,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K
22587,22587,51,Private,194259,Bachelors,13,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K
30480,30480,21,Private,89154,11th,7,Never-married,Other-service,Own-child,White,Male,42,El-Salvador,<=50K
26675,26675,22,Private,230704,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,Black,Male,20,Jamaica,<=50K
13269,13269,53,Private,233165,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
3509,3509,18,Private,89478,Some-college,10,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
10308,10308,26,Private,104045,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,United-States,<=50K
18083,18083,24,Private,111445,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,38,United-States,<=50K
4472,4472,46,Private,117502,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
10303,10303,28,Private,189346,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,48,United-States,<=50K
25021,25021,65,Private,153522,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,17,United-States,<=50K
18571,18571,38,Private,405284,Bachelors,13,Never-married,Other-service,Own-child,White,Female,35,United-States,<=50K
21018,21018,49,Local-gov,358668,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
30173,30173,66,Self-emp-inc,76212,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K
9110,9110,25,Private,61956,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,50,United-States,<=50K
5736,5736,23,Private,179413,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
4571,4571,34,Private,299635,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
24977,24977,32,Private,323055,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
1845,1845,45,Federal-gov,273194,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K
18761,18761,31,Private,121308,11th,7,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
14739,14739,50,Private,185354,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,35,United-States,<=50K
28563,28563,49,Self-emp-not-inc,192203,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Canada,<=50K
5209,5209,47,Private,185385,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K
28214,28214,64,Self-emp-not-inc,159938,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,24,Italy,<=50K
760,760,36,Private,101460,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,18,United-States,<=50K
13341,13341,36,Self-emp-not-inc,129150,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,>50K
26513,26513,38,Self-emp-not-inc,65716,Assoc-voc,11,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
26152,26152,29,Private,152951,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
29495,29495,22,Private,73266,Some-college,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,40,United-States,<=50K
5777,5777,33,Private,221762,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,40,United-States,<=50K
8205,8205,56,Private,208415,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,40,unknown,<=50K
22299,22299,37,Self-emp-not-inc,138940,11th,7,Never-married,Farming-fishing,Own-child,White,Male,37,United-States,<=50K
27181,27181,44,Private,29115,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
9456,9456,32,Private,97723,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,38,United-States,<=50K
7759,7759,23,Private,227943,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,30,United-States,<=50K
5704,5704,31,Private,459465,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K
22603,22603,49,Private,190319,Bachelors,13,Married-spouse-absent,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,40,Philippines,<=50K
4282,4282,31,Private,305692,Some-college,10,Married-civ-spouse,Sales,Wife,Black,Female,40,United-States,<=50K
28118,28118,26,Private,109097,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,48,United-States,<=50K
29198,29198,25,Private,129784,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K
24603,24603,32,Private,160634,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
21711,21711,49,Private,149809,Preschool,1,Married-civ-spouse,Other-service,Husband,White,Male,40,unknown,<=50K
18487,18487,47,Private,329144,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,48,United-States,>50K
31641,31641,32,Private,114288,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K
18774,18774,32,Self-emp-not-inc,27939,Some-college,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,60,United-States,<=50K
15153,15153,54,Private,315804,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
3434,3434,53,Private,99476,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,38,United-States,<=50K
4049,4049,28,Private,25955,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,<=50K
1327,1327,52,Private,168381,HS-grad,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,40,India,>50K
31480,31480,42,Self-emp-not-inc,69333,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,80,United-States,>50K
12101,12101,32,Private,86808,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K
4094,4094,21,Private,260617,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36,United-States,<=50K
30964,30964,31,Local-gov,94991,HS-grad,9,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Male,40,United-States,<=50K
25464,25464,53,Private,123092,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
1545,1545,27,Private,168107,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
16475,16475,26,Private,311497,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
25106,25106,37,Private,178100,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,>50K
20168,20168,37,Private,240837,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,30,United-States,<=50K
16689,16689,38,Private,162322,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K
569,569,47,Private,87490,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,42,United-States,<=50K
17147,17147,41,Private,204662,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
5991,5991,35,Private,177121,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,35,United-States,<=50K
12113,12113,27,Local-gov,225291,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
13483,13483,23,Private,206129,Assoc-voc,11,Never-married,Craft-repair,Unmarried,Black,Female,40,United-States,<=50K
4682,4682,29,Private,250967,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
13220,13220,22,Private,60331,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,35,United-States,<=50K
14129,14129,35,Private,339772,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K
19506,19506,80,Local-gov,20101,HS-grad,9,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Female,32,United-States,<=50K
27334,27334,46,Private,157991,Assoc-voc,11,Divorced,Tech-support,Unmarried,Black,Female,40,United-States,<=50K
25419,25419,54,Private,104501,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
21676,21676,56,Local-gov,129762,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
25701,25701,38,Private,446654,9th,5,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,40,Mexico,<=50K
28684,28684,25,Private,176729,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
19854,19854,53,Self-emp-not-inc,168539,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K
8243,8243,22,Self-emp-inc,40767,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
13401,13401,47,Private,131002,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
26990,26990,61,Private,84587,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K
591,591,55,unknown,105138,HS-grad,9,Married-civ-spouse,unknown,Wife,Asian-Pac-Islander,Female,40,United-States,<=50K
8309,8309,69,Private,106595,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
18598,18598,20,Private,278391,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,25,Nicaragua,<=50K
23695,23695,20,Private,205975,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K
9215,9215,50,Private,320510,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
7539,7539,30,Private,80933,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
5369,5369,25,Private,206343,HS-grad,9,Never-married,Protective-serv,Other-relative,White,Male,40,United-States,<=50K
27981,27981,36,Private,282092,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
3186,3186,35,Private,261382,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K
4167,4167,31,Local-gov,90409,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,United-States,<=50K
13355,13355,35,Self-emp-not-inc,190895,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,25,United-States,<=50K
188,188,31,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,<=50K
1624,1624,31,Private,175548,HS-grad,9,Never-married,Other-service,Not-in-family,Other,Female,35,United-States,<=50K
28291,28291,24,Private,121023,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
21895,21895,56,Private,340171,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K
16967,16967,26,Private,213625,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
11331,11331,59,unknown,188070,Masters,14,Married-civ-spouse,unknown,Husband,White,Male,35,United-States,>50K
11976,11976,31,Private,225507,Assoc-voc,11,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K
15400,15400,32,Private,230420,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,45,United-States,<=50K
28171,28171,38,Private,200220,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
19420,19420,38,Local-gov,188612,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K
24056,24056,39,Local-gov,236391,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,>50K
25766,25766,27,Private,142075,Some-college,10,Never-married,Other-service,Own-child,White,Male,24,United-States,<=50K
8916,8916,34,Self-emp-inc,314375,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K
15130,15130,26,Private,239303,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,unknown,<=50K
24610,24610,42,State-gov,190044,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
2442,2442,54,Local-gov,137678,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
24957,24957,41,Self-emp-inc,32016,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,62,United-States,<=50K
11219,11219,51,Self-emp-not-inc,115851,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
8288,8288,50,Private,148953,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K
10743,10743,35,unknown,317780,Some-college,10,Never-married,unknown,Unmarried,Black,Female,40,United-States,<=50K
19244,19244,17,unknown,198797,11th,7,Never-married,unknown,Own-child,White,Male,20,Peru,<=50K
17400,17400,62,Private,123582,10th,6,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
27918,27918,57,unknown,188877,9th,5,Divorced,unknown,Not-in-family,White,Male,40,United-States,<=50K
30752,30752,38,Federal-gov,190895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,unknown,>50K
11316,11316,19,Private,198663,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K
28133,28133,46,Private,208067,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,40,United-States,<=50K
31486,31486,48,State-gov,50748,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
30700,30700,23,Private,376383,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,35,Mexico,<=50K
1040,1040,90,Private,137018,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
15375,15375,44,Private,167005,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,>50K
21574,21574,27,Private,176514,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
19918,19918,55,Private,143266,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,25,United-States,<=50K
29305,29305,23,Private,55215,Bachelors,13,Never-married,Sales,Own-child,White,Male,55,United-States,<=50K
8362,8362,43,unknown,142030,HS-grad,9,Divorced,unknown,Unmarried,White,Female,40,United-States,<=50K
31076,31076,23,Private,116830,12th,8,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K
31251,31251,33,unknown,216908,10th,6,Never-married,unknown,Other-relative,White,Male,40,United-States,<=50K
1113,1113,69,Private,168139,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,<=50K
2833,2833,58,Self-emp-inc,349910,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
32172,32172,41,Private,112283,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K
15298,15298,23,Private,126346,9th,5,Never-married,Other-service,Unmarried,Black,Female,30,United-States,<=50K
27957,27957,33,Private,173858,Bachelors,13,Married-civ-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,40,India,<=50K
11920,11920,55,Self-emp-inc,258648,10th,6,Widowed,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K
32248,32248,42,Local-gov,201495,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,72,United-States,>50K
7279,7279,53,Private,30290,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K
12745,12745,64,Local-gov,164876,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,20,United-States,<=50K
30935,30935,45,Private,179659,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
13673,13673,27,Local-gov,138917,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,35,United-States,<=50K
29619,29619,35,Self-emp-not-inc,188540,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K
30162,30162,43,Private,328570,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,38,United-States,<=50K
28169,28169,35,Self-emp-not-inc,238802,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K
15003,15003,25,Private,458549,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,96,Mexico,<=50K
4756,4756,32,Self-emp-not-inc,39369,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
26954,26954,38,Private,255621,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
25698,25698,32,Private,183304,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,99,United-States,>50K
13238,13238,58,Private,56392,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
18249,18249,20,Private,58222,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,20,United-States,<=50K
1943,1943,46,Private,243190,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
1842,1842,38,Private,31603,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Female,40,United-States,<=50K
289,289,50,Private,193884,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Ecuador,<=50K
23207,23207,52,Self-emp-inc,134854,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
119,119,22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K
10227,10227,28,Private,394927,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K
17896,17896,58,State-gov,300623,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
3512,3512,26,Private,152035,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
14702,14702,45,Private,198759,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K
3260,3260,34,Private,223212,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Peru,>50K
30551,30551,29,Self-emp-not-inc,128516,Assoc-acdm,12,Widowed,Sales,Unmarried,White,Female,40,United-States,>50K
24976,24976,28,Private,31935,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
30222,30222,47,Private,49298,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,50,United-States,<=50K
25370,25370,47,Private,298037,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,44,United-States,<=50K
12972,12972,28,Private,193158,HS-grad,9,Divorced,Sales,Own-child,White,Female,40,United-States,<=50K
16026,16026,37,Private,287031,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,75,United-States,>50K
6256,6256,27,Private,704108,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K
18459,18459,64,unknown,257790,HS-grad,9,Divorced,unknown,Unmarried,White,Female,38,United-States,<=50K
23778,23778,29,unknown,339100,11th,7,Divorced,unknown,Not-in-family,White,Female,48,United-States,<=50K
4209,4209,26,Private,103700,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K
6947,6947,33,Private,111363,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K
1236,1236,34,Private,441454,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,24,United-States,<=50K
8236,8236,62,Private,113080,7th-8th,4,Divorced,Craft-repair,Own-child,White,Male,40,United-States,<=50K
19134,19134,53,Local-gov,216691,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
13134,13134,23,Private,135138,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,40,United-States,<=50K
30215,30215,23,State-gov,314645,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
16698,16698,19,Private,252862,Assoc-voc,11,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K
8812,8812,34,Private,159255,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
23403,23403,52,Private,194259,7th-8th,4,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,<=50K
3404,3404,41,Private,243607,5th-6th,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Mexico,<=50K
16007,16007,41,Private,105616,Some-college,10,Widowed,Adm-clerical,Unmarried,Black,Female,48,United-States,<=50K
249,249,45,Private,153141,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,unknown,<=50K
136,136,43,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K
10355,10355,50,Private,166758,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,15,United-States,<=50K
18172,18172,26,Private,152452,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K
11239,11239,50,Local-gov,254148,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,Mexico,<=50K
19776,19776,30,Private,158420,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,25,United-States,<=50K
18573,18573,19,Private,25429,12th,8,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K
9092,9092,24,Local-gov,461678,10th,6,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
23452,23452,42,Self-emp-not-inc,269733,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,80,United-States,>50K
32445,32445,58,Self-emp-inc,181974,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,99,unknown,<=50K
29357,29357,22,Private,283969,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,Mexico,<=50K
3681,3681,20,Private,291979,HS-grad,9,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K
29950,29950,64,Self-emp-inc,161325,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K
